"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"38"," Saudi Arabia","5.1","5.2","4.9","4.4","4.1","4.2"
"162"," Senegal","6.0","6.1","6.2","6.0","5.8","5.5"
"66"," Serbia","14.4 y","17.2 y","20.9 y","22.2 y","22.3 y","25.6 y"
"63"," Seychelles","11.6","11.4","12.2","10.4","10.2","9.9"
"179"," Sierra Leone","5.8","5.2","4.7","4.7","4.8","4.9"
"5"," Singapore","7.7","8.9","10.3","11.3","12.2","16.1"
"40"," Slovakia","16.1","16.3","16.5","16.3","17.1","19.5"
"25"," Slovenia","15.5","17.7","20.1","22.0","24.0","26.7"
"156"," Solomon Islands","5.4","4.9","5.1","5.4","5.9","5.9"
"0"," Somalia","6.2","6.0","5.9","5.9","5.7","5.6"
"119"," South Africa","5.5","5.6","6.5","7.3","7.9","7.7"
"181"," South Sudan","5.2","5.5","5.8","6.1","6.3","6.4"
"27"," Spain","20.0 z","22.1 z","24.3 z","24.1 z","25.2 z","28.3 z"
"73"," Sri Lanka","8.8","9.4","9.3","10.1","10.9","14.1"
"165"," Sudan","5.7","5.6","5.6","5.7","5.7","5.9"
"97"," Suriname","7.7","8.4","9.1","9.6","10.0","10.4"
"148"," Swaziland","5.5","5.6","5.6","5.8","5.8","6.1"
"14"," Sweden","27.7","27.4","26.8","26.5","27.9","31.8"
"2"," Switzerland","21.3","21.7","22.7","23.3","24.9","26.9"
"149"," Syrian Arab Republic","6.0","6.0","6.0","5.9","5.8","6.9"
"129"," Tajikistan","7.3","7.4","6.6","6.5","5.4","4.8"
"151"," Tanzania (United Republic of)","5.3 s","5.3 s","5.4 s","5.7 s","6.0 s","6.2 s"
"87"," Thailand","6.9","8.2","9.5","11.0","12.4","14.6"
"82"," The former Yugoslav Republic of Macedonia","10.8","12.0","13.5","15.1","16.0","17.4"
"133"," Timor-Leste","3.0","3.6","4.8","5.3","7.9","10.7"
"166"," Togo","5.8","5.8","5.4","5.1","5.0","5.0"
"101"," Tonga","8.0","9.7","10.2","10.8","10.4","10.2"
"65"," Trinidad and Tobago","9.5","9.6","9.6","10.2","11.7","13.5"
"97"," Tunisia","8.4","9.2","10.6","11.0","10.8","11.0"
"71"," Turkey","7.7","8.3","9.5","10.1","10.6","11.3"
"111"," Turkmenistan","6.8","7.3","7.2","7.3","6.2","6.1"
"163"," Uganda","5.5","5.6","5.7","5.4","5.2","5.0"
