"Concentration index (exports)"
"HDI Rank (2015)","Country","2010","2011","2012","2013","2014"
"2"," Switzerland","0.166","0.168","0.179","0.186","0.256"
"149"," Syrian Arab Republic","0.280","0.247","0.142","0.178","0.172"
"129"," Tajikistan","0.504","0.481","0.540","0.510","0.406"
"151"," Tanzania (United Republic of)","0.193","0.232","0.183","0.203","0.180"
"87"," Thailand","0.086","0.080","0.082","0.079","0.076"
"82"," The former Yugoslav Republic of Macedonia","0.143","0.168","0.164","0.171","0.189"
"133"," Timor-Leste","0.440","0.421","0.918","0.935","0.906"
"166"," Togo","0.243","0.208","0.192","0.177","0.179"
"101"," Tonga","0.277","0.274","0.315","0.319","0.296"
"65"," Trinidad and Tobago","0.336","0.365","0.377","0.371","0.371"
"97"," Tunisia","0.162","0.165","0.152","0.149","0.145"
"71"," Turkey","0.074","0.074","0.092","0.069","0.069"
"111"," Turkmenistan","0.512","0.705","0.761","0.747","0.756"
"0"," Tuvalu","0.417","0.714","0.684","0.710","0.752"
"163"," Uganda","0.196","0.223","0.180","0.185","0.191"
"84"," Ukraine","0.130","0.132","0.121","0.120","0.127"
"42"," United Arab Emirates","0.377","0.407","0.423","0.419","0.405"
"16"," United Kingdom","0.111","0.133","0.118","0.152","0.111"
"10"," United States","0.082","0.083","0.090","0.095","0.095"
"54"," Uruguay","0.179","0.178","0.206","0.228","0.215"
"105"," Uzbekistan","0.248","0.238","0.232","0.244","0.281"
"134"," Vanuatu","0.610","0.618","0.621","0.830","0.638"
"71"," Venezuela (Bolivarian Republic of)","0.658","0.701","0.756","0.769","0.760"
"115"," Viet Nam","0.112","0.118","0.137","0.168","0.143"
"168"," Yemen","0.671","0.594","0.590","0.523","0.531"
"139"," Zambia","0.688","0.707","0.634","0.596","0.612"
"154"," Zimbabwe","0.213","0.242","0.262","0.303","0.312"
""
